x,healthy,x,earlyOA,x,advOA
0,0.0904354,0,0.0904354,0,0.0904354
0.01,0.0149534,0.01,0.0149511,0.01,0.015002
0.0193853,0.0305806,0.0193853,0.0305761,0.0193853,0.030677
0.0282314,0.0461802,0.0282314,0.0461738,0.0282314,0.0463145
0.0366047,0.0613936,0.0366047,0.0613858,0.0366047,0.0615564
0.0445633,0.0760863,0.0445633,0.0760774,0.0445633,0.0762704
0.0521582,0.0902259,0.0521582,0.0902161,0.0521582,0.0904256
0.059434,0.10383,0.059434,0.103819,0.059434,0.104039
0.0663574,0.114767,0.0663574,0.114756,0.0662922,0.114897
0.0734473,0.126441,0.0734473,0.126429,0.0733204,0.126491
0.0808806,0.138965,0.0808806,0.138952,0.0805093,0.138681
0.0886169,0.152219,0.0886169,0.152205,0.08803,0.15161
0.0966204,0.166106,0.0966204,0.166091,0.0958433,0.165188
0.10486,0.180541,0.10486,0.180525,0.103915,0.179334
0.113307,0.195454,0.113307,0.195437,0.112214,0.19398
0.121937,0.210784,0.121937,0.210767,0.120714,0.209064
0.130729,0.226479,0.130729,0.226461,0.129391,0.224535
0.139663,0.242494,0.139663,0.242476,0.138224,0.240344
0.148724,0.25879,0.148724,0.258771,0.147195,0.256451
0.157895,0.275332,0.157895,0.275312,0.156287,0.27282
0.167164,0.29209,0.167164,0.292069,0.165486,0.289418
0.176473,0.308973,0.176473,0.308952,0.17478,0.306218
0.185863,0.326024,0.185819,0.325944,0.184112,0.323133
0.195286,0.343171,0.1952,0.343029,0.193481,0.340146
0.20474,0.360401,0.204615,0.360196,0.202883,0.357244
0.214195,0.377663,0.21403,0.377393,0.212318,0.374415
0.223649,0.39495,0.223444,0.394611,0.221783,0.39165
0.233133,0.41229,0.232654,0.411571,0.231277,0.408944
0.242617,0.429645,0.241496,0.42802,0.240772,0.426254
0.252101,0.447008,0.250339,0.444397,0.250266,0.44357
0.261376,0.464102,0.258847,0.460289,0.259369,0.460375
0.270279,0.480673,0.267049,0.475692,0.267967,0.476456
0.279182,0.49717,0.274972,0.490622,0.275905,0.491559
0.287744,0.513174,0.282895,0.505434,0.283706,0.506295
0.295996,0.52868,0.290282,0.519473,0.291074,0.520329
0.303849,0.543555,0.297461,0.533093,0.29815,0.533818
0.311178,0.557614,0.30445,0.546337,0.304845,0.54665
0.318019,0.570863,0.311266,0.559237,0.311393,0.559118
0.3247,0.583705,0.317858,0.571735,0.317701,0.57113
0.330989,0.595878,0.324204,0.583797,0.323895,0.582853
0.33712,0.607664,0.330384,0.595523,0.329904,0.594219
0.343075,0.619077,0.336318,0.606821,0.335757,0.605267
0.348856,0.630127,0.342106,0.617812,0.341505,0.616074
0.354515,0.640899,0.347826,0.628608,0.347137,0.626639
0.360093,0.651458,0.353458,0.639206,0.352637,0.63695
0.365565,0.661792,0.358942,0.649538,0.358,0.647002
0.37098,0.671968,0.364351,0.659694,0.363296,0.656888
0.376343,0.68201,0.369648,0.669638,0.368546,0.666647
0.381606,0.691866,0.374909,0.679468,0.373758,0.676301
0.386829,0.701611,0.380103,0.68916,0.37893,0.685857
0.392011,0.711257,0.385256,0.698751,0.384071,0.695332
0.397165,0.720823,0.390382,0.708263,0.389186,0.704738
0.402295,0.730325,0.395458,0.717678,0.394275,0.71408
0.407408,0.739777,0.40052,0.727041,0.399347,0.723372
0.412508,0.749186,0.405566,0.736356,0.404404,0.732624
0.417596,0.75856,0.410601,0.745636,0.409447,0.74184
0.422673,0.767901,0.415625,0.754884,0.414483,0.751027
0.427736,0.777211,0.420638,0.7641,0.419511,0.760191
0.43278,0.786483,0.425648,0.773298,0.424534,0.769334
0.437813,0.795727,0.430655,0.78248,0.429552,0.778462
0.442839,0.80495,0.43566,0.791653,0.434567,0.787576
0.447861,0.814157,0.440665,0.800816,0.439578,0.796676
0.452875,0.823347,0.445667,0.80997,0.444586,0.805764
0.457887,0.832526,0.450669,0.819118,0.449592,0.814844
0.462895,0.841692,0.455671,0.828262,0.454596,0.823915
0.467901,0.850851,0.460672,0.837399,0.459599,0.83298
0.472906,0.860003,0.465673,0.846533,0.464602,0.842039
0.47791,0.869148,0.470673,0.855663,0.469604,0.851093
0.482913,0.878288,0.475674,0.864789,0.474605,0.860141
0.487916,0.887424,0.480674,0.873913,0.479606,0.869184
0.492918,0.896557,0.485674,0.883034,0.484606,0.878222
0.497919,0.905685,0.490674,0.892152,0.489607,0.887257
0.50292,0.914812,0.495675,0.901267,0.494607,0.896288
0.507921,0.923935,0.500675,0.910378,0.499608,0.905316
0.512921,0.933055,0.505675,0.919489,0.504608,0.91434
0.517921,0.94217,0.510675,0.928597,0.509608,0.923361
0.522922,0.951284,0.515675,0.937703,0.514608,0.932379
0.527922,0.960395,0.520675,0.946806,0.519608,0.941394
0.532922,0.969503,0.525675,0.955908,0.524608,0.950404
0.537922,0.97861,0.530675,0.965009,0.529608,0.959412
0.542922,0.987714,0.535675,0.974107,0.534608,0.968415
0.547922,0.996815,0.540675,0.983204,0.539608,0.977414
0.552923,1.00591,0.545675,0.992299,0.544608,0.986411
0.557923,1.01501,0.550675,1.00139,0.549608,0.995405
0.562923,1.02411,0.555675,1.01048,0.554608,1.0044
0.567923,1.0332,0.560675,1.01957,0.559608,1.01338
0.572923,1.04229,0.565675,1.02866,0.564608,1.02237
0.577923,1.05138,0.570675,1.03774,0.569608,1.03135
0.582923,1.06046,0.575675,1.04683,0.574608,1.04033
0.587923,1.06954,0.580675,1.05591,0.579608,1.04931
0.592923,1.07863,0.585675,1.06499,0.584608,1.05828
0.597923,1.08771,0.590675,1.07407,0.589608,1.06725
0.602923,1.09678,0.595675,1.08315,0.594608,1.07622
0.607923,1.10586,0.600675,1.09222,0.599608,1.08518
0.612923,1.11494,0.605675,1.10129,0.604608,1.09415
0.617923,1.12401,0.610675,1.11036,0.609608,1.10311
0.622923,1.13308,0.615675,1.11943,0.614608,1.11207
0.627923,1.14215,0.620675,1.12849,0.619608,1.12103
0.632923,1.15121,0.625675,1.13756,0.624608,1.12998
0.637923,1.16027,0.630675,1.14662,0.629608,1.13893
0.642923,1.16933,0.635675,1.15567,0.634608,1.14788
0.647923,1.17839,0.640675,1.16473,0.639608,1.15683
0.652923,1.18744,0.645675,1.17378,0.644608,1.16577
0.657923,1.1965,0.650675,1.18284,0.649608,1.1747
0.662923,1.20555,0.655675,1.19189,0.654608,1.18364
0.667923,1.2146,0.660675,1.20094,0.659608,1.19257
0.672923,1.22366,0.665675,1.20998,0.664608,1.2015
0.677923,1.23271,0.670675,1.21903,0.669608,1.21042
0.682923,1.24175,0.675675,1.22807,0.674608,1.21939
0.687923,1.2508,0.680675,1.23711,0.678775,1.22727
0.692923,1.25984,0.685675,1.24615,0.679608,1.23087
0.697923,1.26889,0.690675,1.25519,0.684608,1.24022
0.702923,1.27792,0.695675,1.26423,0.689608,1.24839
0.707923,1.28696,0.700675,1.27326,0.694608,1.25674
0.712923,1.296,0.705675,1.28229,0.699608,1.26524
0.717923,1.30504,0.709841,1.29027,0.704608,1.27385
0.722923,1.31407,0.714841,1.29916,0.709608,1.28253
0.727923,1.32311,0.719008,1.30707,0.714608,1.29128
0.732923,1.33214,0.724008,1.3159,0.719608,1.30004
0.737923,1.34116,0.729008,1.32481,0.724879,1.30919
0.742923,1.35019,0.733175,1.33271,0.729996,1.31821
0.747923,1.35921,0.738175,1.34152,0.735062,1.32717
0.752923,1.36823,0.742342,1.34938,0.74011,1.33611
0.757923,1.37724,0.747342,1.35818,0.745142,1.34504
0.762923,1.38626,0.751508,1.36603,0.750163,1.35395
0.767923,1.39527,0.756508,1.37481,0.755179,1.36285
0.772923,1.40429,0.761508,1.38368,0.760193,1.37174
0.777923,1.4133,0.765675,1.39153,0.765203,1.38063
0.782923,1.42231,0.770675,1.40033,0.770209,1.38951
0.787923,1.43132,0.775675,1.40921,0.775214,1.39839
0.792923,1.44032,0.780675,1.41813,0.780218,1.40726
0.797923,1.44932,0.785675,1.42706,0.785219,1.41612
0.802923,1.45832,0.790675,1.436,0.79022,1.42499
0.807923,1.46732,0.795675,1.44496,0.795221,1.43384
0.812923,1.47632,0.800675,1.45393,0.800221,1.4427
0.817923,1.48531,0.805675,1.4629,0.805222,1.45156
0.822923,1.4943,0.810675,1.47188,0.810222,1.4604
0.827923,1.50329,0.815675,1.48086,0.815222,1.46925
0.832923,1.51228,0.820675,1.48984,0.820222,1.47809
0.837923,1.52126,0.825675,1.49882,0.825222,1.48693
0.842923,1.53024,0.830675,1.5078,0.830222,1.49576
0.847923,1.53923,0.835675,1.51678,0.835222,1.50459
0.852923,1.54822,0.840675,1.52576,0.840222,1.51342
0.857923,1.55721,0.845675,1.53473,0.845222,1.52224
0.862923,1.5662,0.850675,1.54371,0.850222,1.53106
0.867923,1.57519,0.855675,1.55268,0.855222,1.53988
0.872923,1.58417,0.860675,1.56165,0.860222,1.54869
0.877923,1.59315,0.865675,1.57062,0.865222,1.5575
