x,N2571,x,N2571,x,N2571,x,N2643,x,N2643,x,N2643
0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.0155298,0.01,0.0155866,0.01,0.0154129,0.01,0.154701,0.01,0.156623,0.01,0.150542
0.0193853,0.0316271,0.0193853,0.0317173,0.0193853,0.0314398,0.0197673,0.285651,0.0197673,0.288504,0.0197673,0.279565
0.0282314,0.0477373,0.0282314,0.0478596,0.0282314,0.0474817,0.0295621,0.417626,0.0295621,0.421148,0.0295472,0.410002
0.0366047,0.0634562,0.0366047,0.0636065,0.0366047,0.0631419,0.0393569,0.548824,0.0393569,0.552815,0.0393271,0.540088
0.0445633,0.0786342,0.0445633,0.078808,0.0445633,0.0782708,0.0491627,0.679052,0.0491627,0.683371,0.0491189,0.669516
0.0521582,0.0932247,0.0521582,0.0934179,0.0521582,0.0928213,0.0589686,0.80819,0.0589686,0.812728,0.0589107,0.79808
0.059434,0.107237,0.059434,0.107446,0.059434,0.106801,0.0683558,0.931693,0.0683558,0.936379,0.068285,0.92117
0.0663574,0.117641,0.0663574,0.117816,0.0663574,0.117282,0.0777761,1.05411,0.0777761,1.05887,0.0776932,1.04335
0.073644,0.129584,0.073644,0.129752,0.073644,0.129241,0.0872277,1.17578,0.0872277,1.18056,0.0871333,1.16489
0.0812508,0.142473,0.0812508,0.14264,0.0812508,0.142132,0.0958625,1.25898,0.0958625,1.26348,0.0957587,1.24884
0.0891402,0.156125,0.0891402,0.156296,0.0891402,0.155777,0.104764,1.33738,0.104764,1.34165,0.104652,1.32781
0.0972786,0.170416,0.0972786,0.170592,0.0972786,0.170056,0.113885,1.409,0.113885,1.41298,0.113767,1.40012
0.105518,0.185108,0.105518,0.185291,0.105518,0.184732,0.123182,1.47501,0.123182,1.47877,0.123059,1.46657
0.113852,0.20012,0.113852,0.20031,0.113852,0.199728,0.132616,1.53533,0.132619,1.53893,0.13249,1.52732
0.122277,0.215405,0.122277,0.215603,0.122277,0.214996,0.14208,1.59036,0.142166,1.59398,0.141951,1.58273
0.130786,0.230926,0.130786,0.231131,0.130786,0.2305,0.151574,1.64054,0.151738,1.64437,0.151412,1.63318
0.139377,0.246651,0.139377,0.246867,0.139377,0.246207,0.161095,1.68662,0.161333,1.69047,0.160936,1.67938
0.148043,0.262565,0.148043,0.262784,0.148043,0.262101,0.170642,1.72889,0.170976,1.73298,0.170487,1.72188
0.15671,0.278548,0.156782,0.278868,0.15671,0.278071,0.180243,1.76803,0.180688,1.77242,0.180061,1.76115
0.165449,0.294676,0.165589,0.295097,0.165449,0.294171,0.189843,1.8043,0.190435,1.80908,0.189686,1.79761
0.174256,0.310928,0.17446,0.311463,0.174256,0.310406,0.199491,1.83827,0.200195,1.84334,0.199332,1.83163
0.183127,0.327298,0.183393,0.327948,0.183127,0.326759,0.209138,1.87003,0.209968,1.87545,0.208977,1.86339
0.191998,0.34371,0.192383,0.344545,0.192059,0.343228,0.218786,1.89985,0.219741,1.90566,0.218622,1.89322
0.200931,0.360223,0.201373,0.361176,0.20105,0.359792,0.228453,1.92812,0.229292,1.93335,0.228051,1.92049
0.209863,0.376754,0.210418,0.377899,0.210095,0.376466,0.238137,1.95506,0.238631,1.95876,0.237274,1.9455
0.218854,0.393371,0.219515,0.394699,0.219191,0.393221,0.247604,1.97989,0.248006,1.98315,0.246588,1.96966
0.227658,0.409777,0.228611,0.411528,0.228337,0.410046,0.257134,2.0039,0.257178,2.0057,0.255702,1.992
0.235995,0.425572,0.237708,0.428359,0.237482,0.426902,0.266452,2.02618,0.265836,2.0253,0.263768,2.00914
0.243633,0.440423,0.246804,0.445197,0.246434,0.443498,0.275852,2.04807,0.274176,2.04294,0.270993,2.02221
0.251041,0.454728,0.255901,0.462016,0.255387,0.460084,0.285283,2.06946,0.282605,2.06055,0.277752,2.03306
0.257888,0.468181,0.264998,0.478818,0.263995,0.476199,0.29417,2.08804,0.29112,2.07813,0.284686,2.0446
0.264449,0.480981,0.274094,0.495619,0.272045,0.491534,0.302579,2.10425,0.299634,2.09545,0.292218,2.05865
0.270768,0.493278,0.283191,0.512416,0.279534,0.506006,0.310691,2.11904,0.307843,2.11124,0.300232,2.07465
0.276926,0.505146,0.292336,0.529245,0.286807,0.519958,0.318421,2.13211,0.316051,2.12693,0.308644,2.09213
0.282788,0.516495,0.301481,0.546066,0.293663,0.533222,0.325912,2.1442,0.324471,2.14343,0.317365,2.1107
0.288369,0.527314,0.310627,0.56289,0.300291,0.545963,0.333288,2.15588,0.332593,2.15851,0.326238,2.12961
0.293844,0.537773,0.319411,0.579272,0.306504,0.558018,0.341176,2.16994,0.340442,2.17241,0.335171,2.1485
0.299208,0.547938,0.327609,0.594871,0.312384,0.569421,0.348929,2.18344,0.347942,2.18484,0.344162,2.16743
0.304506,0.557871,0.335414,0.609778,0.317991,0.580259,0.356805,2.1976,0.355224,2.19652,0.352806,2.18471
0.309741,0.567618,0.342632,0.623818,0.323457,0.590678,0.364546,2.21123,0.362225,2.20717,0.361609,2.20252
0.314926,0.577205,0.349656,0.637271,0.328771,0.600737,0.372287,2.22499,0.36958,2.21963,0.370236,2.21947
0.320083,0.586664,0.355845,0.649628,0.334005,0.610525,0.380151,2.23943,0.377078,2.23288,0.378693,2.23565
0.325227,0.596052,0.36152,0.660999,0.339185,0.620102,0.387571,2.25201,0.384712,2.24683,0.387235,2.25216
0.330348,0.605353,0.367072,0.671798,0.344349,0.629558,0.394693,2.2635,0.392116,2.25987,0.395467,2.26733
0.335444,0.614581,0.372461,0.682162,0.349487,0.6389,0.401631,2.27444,0.39952,2.27308,0.403795,2.28296
0.340519,0.62374,0.37777,0.692187,0.354591,0.648137,0.408478,2.28525,0.406812,2.28594,0.411834,2.2974
0.345576,0.632842,0.383006,0.701959,0.359659,0.657268,0.41524,2.29594,0.413904,2.29808,0.419607,2.31097
