x,N3057,x,N3057,x,N3057,x,N3237,x,N3237,x,N3237
0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.000690928,0.01,0.000687691,0.01,0.000695522,0.01,0.000803505,0.01,0.000798538,0.01,0.000811837
0.0193853,0.000750362,0.0193853,0.000751866,0.0193853,0.000747346,0.0197673,0.000827047,0.0197673,0.000827974,0.0197673,0.000826113
0.0282314,0.000779165,0.0282314,0.000780505,0.0282314,0.000777108,0.0295621,0.000825652,0.0295621,0.00082563,0.0295472,0.000827251
0.0366047,0.000798778,0.0366047,0.000799458,0.0366047,0.000798132,0.0393569,0.000827574,0.0393569,0.000826413,0.0393271,0.000831355
0.0445633,0.000813797,0.0445633,0.000813909,0.0445633,0.000814146,0.0491627,0.000830901,0.0491627,0.000829014,0.0491189,0.00083587
0.0521582,0.000825564,0.0521582,0.000825296,0.0521582,0.000826463,0.0589686,0.000834283,0.0589686,0.000832024,0.0589107,0.000839762
0.059434,0.000835045,0.059434,0.000834564,0.059434,0.000836164,0.0683558,0.000837197,0.0683558,0.000834788,0.068285,0.000842836
0.0663574,0.000823634,0.0663574,0.000823473,0.0663574,0.000824115,0.0777761,0.000839522,0.0777761,0.000837083,0.0776932,0.000845175
0.073644,0.000817714,0.073644,0.000816838,0.073644,0.000819339,0.0872277,0.000841006,0.0872277,0.000838578,0.0871333,0.00084667
0.0812508,0.000818045,0.0812508,0.000817217,0.0812508,0.000819336,0.0958625,0.000845986,0.0958625,0.000843551,0.0957587,0.000851793
0.0891402,0.000819571,0.0891402,0.000819016,0.0891402,0.000820239,0.104764,0.000847658,0.104764,0.000845004,0.104652,0.000853952
0.0972786,0.000821288,0.0972786,0.000820998,0.0972786,0.000821464,0.113885,0.000859229,0.113885,0.000856461,0.113767,0.000865378
0.105518,0.000823342,0.105518,0.000823236,0.105518,0.000823233,0.123182,0.000873558,0.123182,0.000870751,0.123059,0.000880349
0.113852,0.000825501,0.113852,0.000825518,0.113852,0.000825249,0.132616,0.000890446,0.132619,0.000887488,0.13249,0.000897471
