x,F893,x,F893,x,F893,x,F893,x,F893
0,0,0,0,0,0,0,0,0,0
0.01,0.816328,0.01,0.817154,0.01,0.814595,0.01,0.684933,0.01,0.686006
0.0193853,0.815341,0.0193853,0.814798,0.0193853,0.818735,0.0190825,0.681068,0.0190825,0.68049
0.0282314,0.820196,0.0282314,0.819798,0.0282314,0.822251,0.0276631,0.681726,0.0276631,0.681287
0.0366047,0.823626,0.0366047,0.823502,0.0366047,0.825305,0.0362436,0.681912,0.0362436,0.681719
0.0445633,0.82589,0.0445633,0.825945,0.0445633,0.828026,0.0448242,0.681314,0.0448242,0.681296
0.0521582,0.827409,0.0521582,0.827546,0.0521582,0.830313,0.0534048,0.680029,0.0534048,0.680074
0.059434,0.828468,0.059434,0.828622,0.059434,0.83231,0.0619854,0.679009,0.0619854,0.679062
0.0663574,0.827076,0.0663574,0.827281,0.0662922,0.831071,0.0705659,0.678221,0.0705659,0.678249
0.0734473,0.826061,0.0734473,0.82613,0.0733204,0.831048,0.0789799,0.680774,0.0789799,0.680823
0.0808806,0.825997,0.0808806,0.826005,0.0805093,0.831461,0.087711,0.681292,0.087711,0.681215
0.0886169,0.826228,0.0886169,0.826218,0.08803,0.832074,0.0964422,0.681763,0.0964422,0.681659
0.0966204,0.826538,0.0966204,0.826521,0.0958433,0.832852,0.105173,0.681878,0.105173,0.681771
0.10486,0.826866,0.10486,0.826837,0.103915,0.833749,0.113904,0.681857,0.113904,0.68174
0.113307,0.827225,0.113307,0.827181,0.112214,0.834739,0.122636,0.681753,0.122636,0.681614
0.121937,0.82762,0.121937,0.827557,0.120714,0.835703,0.131367,0.681649,0.131367,0.681483
0.130729,0.828015,0.130729,0.827934,0.129391,0.836475,0.140098,0.681587,0.140098,0.681394
0.139663,0.828428,0.139663,0.828331,0.138224,0.837282,0.148655,0.681502,0.148655,0.681284
0.148724,0.828862,0.148724,0.828752,0.147195,0.838119,0.157047,0.681322,0.157047,0.681083
0.157895,0.829244,0.157895,0.829124,0.156287,0.838984,0.165753,0.681402,0.165753,0.68115
