x,healthy,x,earlyOA
0,0.0396213,0,0.0396213
0.01,0.0492593,0.01,0.0492545
0.0190825,0.0953116,0.0190825,0.0953031
0.0276631,0.139149,0.0276631,0.139138
0.0362436,0.183084,0.0362436,0.183071
0.0448242,0.227057,0.0448242,0.227042
0.0534048,0.271022,0.0534048,0.271007
0.0619854,0.314955,0.0619854,0.314939
0.0705659,0.358827,0.0705659,0.35881
0.0789799,0.39907,0.0789799,0.399052
0.087711,0.442242,0.087711,0.442223
0.0964422,0.485952,0.0964422,0.485933
0.105173,0.52985,0.105173,0.529831
0.113904,0.573823,0.113904,0.573804
0.122636,0.617823,0.122636,0.617805
0.131367,0.661823,0.131367,0.661806
0.140098,0.705805,0.140098,0.705789
0.148655,0.748966,0.148655,0.748951
0.157047,0.79129,0.157047,0.791277
0.165753,0.834949,0.165753,0.834938
0.174712,0.879759,0.174712,0.87975
0.183874,0.92551,0.183874,0.925503
0.193199,0.972014,0.193199,0.972009
0.202656,1.01911,0.202656,1.01911
0.21222,1.06668,0.21222,1.06668
0.221868,1.11461,0.221868,1.11461
0.231585,1.16281,0.231585,1.16282
0.241357,1.21122,0.241357,1.21123
0.251174,1.25978,0.251174,1.25979
0.261027,1.30844,0.261027,1.30846
0.270908,1.35718,0.270908,1.3572
0.280796,1.40588,0.280796,1.4059
0.290705,1.4546,0.290705,1.45463
0.30062,1.50327,0.30062,1.50331
0.310551,1.55195,0.310551,1.55199
0.320486,1.60056,0.320486,1.6006
0.330425,1.64911,0.330425,1.64916
0.340366,1.69759,0.340366,1.69765
0.350311,1.74602,0.350311,1.74608
0.360259,1.79437,0.360259,1.79444
0.37021,1.84266,0.37021,1.84273
0.380163,1.89088,0.380163,1.89096
0.390119,1.93903,0.390119,1.93912
0.400078,1.98712,0.400078,1.98721
0.410038,2.03514,0.410038,2.03523
0.420001,2.08308,0.420001,2.08319
0.429966,2.13097,0.429966,2.13108
0.439932,2.17878,0.439932,2.17889
0.449901,2.22652,0.449901,2.22665
0.459871,2.2742,0.459871,2.27433
0.469843,2.32181,0.469843,2.32195
0.479816,2.36935,0.479816,2.36949
0.489791,2.41683,0.489791,2.41698
0.499767,2.46424,0.499767,2.46439
0.509744,2.51158,0.509744,2.51174
0.519723,2.55885,0.519723,2.55902
0.529702,2.60606,0.529702,2.60624
0.539683,2.65321,0.539683,2.65339
0.549665,2.70029,0.549665,2.70048
0.559648,2.7473,0.559648,2.7475
0.569632,2.79425,0.569632,2.79446
0.579616,2.84114,0.579616,2.84135
0.589602,2.88797,0.589602,2.88818
0.599588,2.93473,0.599588,2.93495
0.609575,2.98143,0.609575,2.98166
0.619563,3.02806,0.619563,3.0283
0.629551,3.07464,0.629551,3.07488
0.63954,3.12115,0.639539,3.1214
0.64953,3.16761,0.649526,3.16785
0.65952,3.214,0.659514,3.21424
0.669511,3.26033,0.669502,3.26057
0.679502,3.30661,0.679489,3.30684
0.689494,3.35283,0.689477,3.35304
0.699486,3.39899,0.699465,3.39919
0.709479,3.44509,0.709453,3.44528
0.719472,3.49113,0.71944,3.49131
0.729465,3.53712,0.729428,3.53728
0.739459,3.58306,0.739416,3.58319
0.749453,3.62893,0.749404,3.62905
0.759447,3.67475,0.759391,3.67485
0.769441,3.72052,0.769379,3.72059
0.779435,3.76623,0.779367,3.76628
0.789429,3.81189,0.789355,3.81191
0.799424,3.85749,0.799342,3.85749
0.809418,3.90304,0.80933,3.90302
0.819414,3.94854,0.819318,3.9485
0.829409,3.99399,0.829307,3.99392
0.839405,4.03939,0.839296,4.0393
0.849401,4.08474,0.849287,4.08463
0.859397,4.13004,0.859277,4.12991
0.869394,4.17529,0.869269,4.17515
0.879391,4.22049,0.87926,4.22033
0.889389,4.26565,0.889253,4.26547
0.899387,4.31075,0.899246,4.31057
0.909385,4.35581,0.90924,4.35562
0.919383,4.40083,0.919235,4.40062
0.929382,4.4458,0.929231,4.44559
0.93938,4.49072,0.939227,4.4905
0.949379,4.53559,0.949223,4.53537
0.959378,4.58042,0.959219,4.58019
0.969377,4.6252,0.969216,4.62498
0.979376,4.66994,0.979213,4.66971
0.989376,4.71464,0.98921,4.71441
0.999375,4.75929,0.999208,4.75906
1.00937,4.9969,1.00921,4.99314
1.01894,5.24753,1.01877,5.24371
1.0281,5.42262,1.02793,5.42056
1.03691,5.55623,1.03673,5.55443
1.04538,5.67306,1.0452,5.67152
1.05355,5.77904,1.05337,5.77768
1.06144,5.87406,1.06126,5.87282
1.06908,5.95612,1.0689,5.95511
1.07649,6.02741,1.07631,6.02647
1.08369,6.09792,1.08351,6.10068
1.0907,6.2598,1.09052,6.2657
1.09771,6.41322,1.09736,6.4164
1.10472,6.55871,1.10419,6.55917
1.11173,6.67375,1.11102,6.67597
1.11856,6.76051,1.1177,6.76169
1.12524,6.83855,1.12423,6.83869
1.13177,6.91014,1.13062,6.9093
1.13816,6.97681,1.13689,6.97506
1.14444,7.0396,1.14306,7.03704
1.15065,7.09954,1.14912,7.09589
1.15676,7.15695,1.15518,7.1529
1.16277,7.21218,1.16115,7.20788
1.16874,7.26575,1.16707,7.26131
1.1747,7.31819,1.17299,7.31368
1.18067,7.36974,1.17892,7.3652
1.18663,7.42055,1.18484,7.41602
1.1926,7.47073,1.19076,7.46622
1.19856,7.52035,1.19669,7.51589
1.20453,7.56945,1.20261,7.56504
1.21049,7.61807,1.20853,7.61372
1.21646,7.66625,1.21446,7.66198
1.22264,7.71516,1.2206,7.71097
1.22903,7.76506,1.22695,7.76097
1.23561,7.81608,1.2335,7.81211
1.24238,7.86821,1.24024,7.8644
1.24933,7.92138,1.24715,7.91776
1.25644,7.97551,1.25423,7.9721
1.2637,8.03053,1.26147,8.02735
1.27112,8.08716,1.26886,8.0834
1.27867,8.14877,1.27639,8.14423
1.28636,8.21349,1.28405,8.2087
1.29417,8.27983,1.29184,8.27517
1.3021,8.3443,1.29975,8.34082
1.31014,8.40731,1.30777,8.40477
1.31792,8.46638,1.3159,8.46679
1.32569,8.52295,1.32403,8.52688
1.33359,8.57755,1.33226,8.58523
1.3416,8.61536,1.34058,8.62954
1.34972,8.62728,1.34891,8.64836
1.35784,8.61288,1.35723,8.64088
1.36595,8.56741,1.36556,8.60172
1.37407,8.48772,1.37388,8.52777
1.38219,8.36695,1.38221,8.41311
1.39053,8.22141,1.39073,8.26733
1.39887,8.05812,1.39926,8.10357
1.40721,7.87608,1.40778,7.9208
1.41575,7.67467,1.41648,7.71826
1.42412,7.45225,1.42524,7.49462
1.43258,7.20891,1.43408,7.24904
1.44112,6.94398,1.44298,6.98079
1.44967,6.65705,1.45187,6.68983
1.45804,6.3458,1.46059,6.3733
1.46627,6.01438,1.46913,6.03563
1.4747,5.66469,1.47785,5.67863
1.48331,5.29533,1.48672,5.30096
1.49209,4.90508,1.49572,4.90172
1.50102,4.50227,1.50483,4.49506
1.51007,4.0832,1.51406,4.06526
1.51923,3.64128,1.52337,3.61173
1.52849,3.17549,1.53277,3.13355
1.53784,2.68501,1.54223,2.62912
1.54726,2.1609,1.55176,2.09092
1.55676,1.61467,1.56135,1.5309
1.56631,1.04481,1.57098,0.946341
1.57592,0.447064,1.58066,0.332297
1.58554,0,1.59038,0
1.59517,0,1.60009,0
1.6044,0,1.6094,0
1.6131,0,1.61884,0.00749425
1.62148,0.00926624,1.62834,0.040661
1.62957,0.0419255,1.63785,0.097809
1.63739,0.0915873,1.64735,0.181872
1.64496,0.158144,1.65686,0.288815
1.65231,0.244133,1.66643,0.41743
1.65966,0.346874,1.67604,0.566875
1.66701,0.465535,1.6857,0.735341
1.67436,0.599445,1.6954,0.919463
1.6817,0.748002,1.70514,1.11967
1.68905,0.908491,1.71489,1.33546
1.69654,1.08153,1.72466,1.5714
1.70404,1.26672,1.73303,1.81389
1.71153,1.4639,1.7411,2.06942
1.71902,1.67139,1.74891,2.33803
1.727,1.89719,1.75658,2.61758
1.73498,2.13706,1.76439,2.90602
1.74271,2.38995,1.77219,3.19989
1.75019,2.65562,1.77975,3.49626
1.75797,2.93388,1.78708,3.79414
1.76587,3.2186,1.79421,4.09248
1.77333,3.50842,1.80116,4.39034
1.78056,3.79983,1.80794,4.68578
1.78761,4.09243,1.81456,4.98009
1.79447,4.38521,1.82104,5.27336
1.80118,4.6762,1.82739,5.56553
1.80773,4.96599,1.83362,5.86203
1.81415,5.25495,1.83946,6.15137
1.82045,5.54296,1.84551,6.43717
1.82663,5.83538,1.85157,6.72093
1.83251,6.12122,1.85754,7.00398
1.83861,6.40362,1.86342,7.28282
1.84472,6.68418,1.86904,7.56132
1.85073,6.96408,1.87457,7.83456
1.85665,7.23925,1.87969,8.1082
1.86218,7.51215,1.8848,8.37768
1.86766,7.78362,1.88985,8.64458
1.87307,8.05165,1.8949,8.90814
1.87836,8.31843,1.89991,9.16832
1.88352,8.58104,1.90493,9.42708
1.88862,8.84126,1.9091,9.67844
1.8937,9.09928,1.9141,9.93013
1.89878,9.35368,1.9191,10.1772
1.90383,9.60873,1.9241,10.4208
1.90888,9.86003,1.9291,10.6608
1.91392,10.1078,1.9341,10.8984
1.91894,10.3505,1.9391,11.1338
1.92396,10.5881,1.9441,11.3658
1.92897,10.8229,1.9491,11.5963
1.93397,11.0559,1.9541,11.8238
1.93898,11.2869,1.9591,12.0491
1.94398,11.5169,1.9641,12.2723
1.94898,11.7429,1.9691,12.4918
1.95398,11.9683,1.9741,12.7092
1.95898,12.1912,1.9791,12.9236
1.96398,12.4109,1.9841,13.1348
1.96899,12.6256,1.9891,13.3461
1.97399,12.838,1.9941,13.5553
1.97899,13.0495,1.9991,13.7603
1.98399,13.2588,2.0041,13.975
1.98899,13.4665,2.0091,14.1867
1.99399,13.6703,2.0141,14.3923
1.99899,13.8744,2.01969,14.5827
2.00399,14.0826,2.02521,14.74
2.00899,14.2864,2.03068,14.8737
2.01426,14.4791,2.03611,14.9912
2.01979,14.6453,2.04151,15.0958
2.02529,14.7884,2.04687,15.1913
2.03075,14.9092,2.0522,15.2787
2.03616,15.0204,2.0575,15.3598
2.04156,15.1189,2.06277,15.4358
2.04693,15.2095,2.06803,15.5012
2.05226,15.2932,2.07327,15.5612
2.05756,15.3713,2.07851,15.6185
2.06284,15.4449,2.08372,15.6727
2.06812,15.509,2.08892,15.7239
2.07339,15.5679,2.09411,15.7724
2.07865,15.6235,2.09929,15.8184
2.08388,15.6758,2.10445,15.8617
2.08909,15.7252,2.1096,15.9028
2.09429,15.7718,2.11474,15.9415
2.09947,15.8157,2.11987,15.9783
2.10463,15.8571,2.12498,16.013
2.10979,15.8961,2.13009,16.0456
2.11495,15.9332,2.1352,16.0764
2.12009,15.9682,2.1403,16.1055
2.12522,16.0012,2.14541,16.1331
2.13034,16.0323,2.15051,16.1616
2.13546,16.0616,2.1556,16.1869
2.14057,16.0893,2.16068,16.2062
2.14568,16.1157,2.16576,16.2183
2.15079,16.1432,2.17083,16.2221
2.15589,16.1676,2.17589,16.2175
2.16098,16.1863,2.18095,16.2013
2.16607,16.1979,2.18601,16.1777
2.17114,16.2013,2.19107,16.1419
2.17621,16.1963,2.19612,16.0972
2.18128,16.1798,2.20116,16.0369
2.18635,16.1557,2.20621,15.9655
2.19141,16.1196,2.21125,15.8779
2.19647,16.0745,2.21628,15.7819
2.20152,16.0146,2.22132,15.6741
2.20657,15.9439,2.22634,15.5592
2.21161,15.8559,2.23137,15.4329
2.21665,15.7587,2.23639,15.2983
