x,N2249,x,N2249,x,N2249,x,N2249,x,N2249,x,N2249
0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.000416508,0.01,0.000416634,0.01,0.000416288,0.01,0.00936092,0.01,0.00934079,0.01,0.00940584
0.0193853,0.000939269,0.0193853,0.000939096,0.0193853,0.000939785,0.0197673,0.0187529,0.0197673,0.0187191,0.0197673,0.0188269
0.0282314,0.00150824,0.0282314,0.00150767,0.0282314,0.00150969,0.0295621,0.0285401,0.0295621,0.0284946,0.0295472,0.0286266
0.0366047,0.0020889,0.0366047,0.00208792,0.0366047,0.00209131,0.0393569,0.0385116,0.0393569,0.0384559,0.0393271,0.0386062
0.0445633,0.00266404,0.0445633,0.00266267,0.0445633,0.00266737,0.0491627,0.0485849,0.0491627,0.0485201,0.0491189,0.0486851
0.0521582,0.00322535,0.0521582,0.00322361,0.0521582,0.00322955,0.0589686,0.0587046,0.0589686,0.0586316,0.0589107,0.0588083
0.059434,0.00376952,0.059434,0.00376743,0.059434,0.00377455,0.0683558,0.0684573,0.0683558,0.0683771,0.068285,0.0685633
0.0663574,0.00410901,0.0663574,0.00410686,0.0663574,0.00411423,0.0777761,0.078232,0.0777761,0.0781453,0.0776932,0.0783395
0.073644,0.00450968,0.073644,0.00450727,0.073644,0.00451556,0.0872277,0.0880208,0.0872277,0.0879284,0.0871333,0.0881289
0.0812508,0.00495292,0.0812508,0.00495018,0.0812508,0.00495959,0.0958625,0.0955221,0.0958625,0.0954362,0.0957587,0.0956162
0.0891402,0.00543242,0.0891402,0.00542932,0.0891402,0.00543994,0.104764,0.102522,0.104764,0.102445,0.104652,0.102596
0.0972786,0.00594296,0.0972786,0.00593949,0.0972786,0.00595138,0.113885,0.109055,0.113885,0.108986,0.113767,0.109116
0.105518,0.00647702,0.105518,0.00647315,0.105518,0.00648637,0.123182,0.115182,0.123182,0.115123,0.123059,0.115222
0.113852,0.0070297,0.113852,0.00702544,0.113852,0.00704,0.132616,0.120919,0.132619,0.120874,0.13249,0.120937
0.122277,0.00759781,0.122277,0.00759314,0.122277,0.00760908,0.14208,0.126274,0.142166,0.126269,0.141951,0.126267
0.130786,0.00817886,0.130786,0.00817378,0.130786,0.00819113,0.151574,0.131284,0.151738,0.13132,0.151412,0.131242
0.139377,0.00877086,0.139377,0.00876538,0.139377,0.0087842,0.161095,0.13599,0.161333,0.136065,0.160936,0.135924
0.148043,0.00937242,0.148043,0.00936651,0.148043,0.00938678,0.170642,0.140429,0.170976,0.140551,0.170487,0.140339
0.15671,0.00998042,0.156782,0.00997591,0.15671,0.00999598,0.180243,0.144643,0.180688,0.144817,0.180061,0.144518
0.165449,0.0105946,0.165589,0.0105925,0.165449,0.0106111,0.189843,0.148643,0.190435,0.14888,0.189686,0.1485
0.174256,0.0112148,0.17446,0.0112156,0.174256,0.0112325,0.199491,0.15247,0.200195,0.152757,0.199332,0.152299
0.183127,0.0118404,0.183393,0.0118443,0.183127,0.0118593,0.209138,0.156132,0.209968,0.156472,0.208977,0.155932
0.191998,0.0124695,0.192383,0.0124782,0.192059,0.0124912,0.218786,0.159647,0.219741,0.16004,0.218622,0.159419
0.200931,0.0131024,0.201373,0.0131153,0.20105,0.0131275,0.228453,0.163041,0.229292,0.163399,0.228051,0.1627
0.209863,0.0137378,0.210418,0.0137558,0.210095,0.0137684,0.238137,0.166329,0.238631,0.166565,0.237274,0.165791
0.218854,0.0143759,0.219515,0.0143996,0.219191,0.0144128,0.247604,0.16944,0.248006,0.16964,0.246588,0.168816
0.227658,0.0150112,0.228611,0.0150458,0.228337,0.0150608,0.257134,0.172487,0.257178,0.172562,0.255702,0.171686
0.235995,0.0156322,0.237708,0.0156928,0.237482,0.0157111,0.266452,0.175385,0.265836,0.175222,0.263768,0.174107
0.243633,0.0162277,0.246804,0.0163405,0.246434,0.0163572,0.275852,0.17824,0.274176,0.177699,0.270993,0.17615
0.251041,0.0168042,0.255901,0.0169885,0.255387,0.0170022,0.285283,0.181052,0.282605,0.180151,0.277752,0.177964
0.257888,0.0173532,0.264998,0.0176362,0.263995,0.0176361,0.29417,0.183627,0.29112,0.182592,0.284686,0.1798
0.264449,0.0178793,0.274094,0.0182841,0.272045,0.0182497,0.302579,0.18598,0.299634,0.185006,0.292218,0.181828
0.270768,0.0183837,0.283191,0.0189313,0.279534,0.0188374,0.310691,0.188186,0.307843,0.187283,0.300232,0.184024
0.276926,0.0188705,0.292336,0.0195794,0.286807,0.019406,0.318421,0.190227,0.316051,0.18953,0.308644,0.186357
0.282788,0.019336,0.301481,0.0202275,0.293663,0.0199502,0.325912,0.192161,0.324471,0.191839,0.317365,0.188797
0.288369,0.019782,0.310627,0.0208756,0.300291,0.0204743,0.333288,0.194047,0.332593,0.194035,0.326238,0.191293
0.293844,0.020213,0.319411,0.0215135,0.306504,0.0209731,0.341176,0.196111,0.340442,0.196118,0.335171,0.1938
0.299208,0.0206307,0.327609,0.0221311,0.312384,0.0214481,0.348929,0.198128,0.347942,0.198061,0.344162,0.19631
0.304506,0.0210372,0.335414,0.0227281,0.317991,0.0219016,0.356805,0.200184,0.355224,0.199915,0.352806,0.19868
0.309741,0.0214346,0.342632,0.0232974,0.323457,0.0223374,0.364546,0.202195,0.362225,0.201661,0.361609,0.201089
0.314926,0.0218239,0.349656,0.0238467,0.328771,0.022757,0.372287,0.204204,0.36958,0.203533,0.370236,0.203422
0.320083,0.0222061,0.355845,0.0243591,0.334005,0.0231635,0.380151,0.206252,0.377078,0.205462,0.378693,0.205681
0.325227,0.022584,0.36152,0.0248378,0.339185,0.0235594,0.387571,0.208145,0.384712,0.207443,0.387235,0.207957
0.330348,0.0229572,0.367072,0.0252929,0.344349,0.0239476,0.394693,0.209927,0.392116,0.209347,0.395467,0.210116
0.335444,0.0233269,0.372461,0.0257281,0.349487,0.0243289,0.401631,0.211642,0.39952,0.211251,0.403795,0.212299
0.340519,0.0236934,0.37777,0.0261466,0.354591,0.0247045,0.408478,0.213327,0.406812,0.213118,0.411834,0.214374
0.345576,0.0240567,0.383006,0.0265522,0.359659,0.0250746,0.41524,0.214985,0.413904,0.214914,0.419607,0.216342
0.350621,0.0244175,0.388199,0.0269465,0.364712,0.0254409,0.421848,0.216595,0.420815,0.216646,0.427381,0.218326
0.355656,0.0247763,0.393368,0.0273329,0.369755,0.025804,0.428316,0.218162,0.427636,0.218349,0.434813,0.220175
0.360685,0.0251335,0.398485,0.0277096,0.374784,0.0261644,0.434975,0.219803,0.434298,0.219999,0.442034,0.221948
0.365708,0.0254892,0.403562,0.0280812,0.379811,0.0265223,0.441634,0.221456,0.440816,0.221602,0.449061,0.223654
0.370728,0.025843,0.40863,0.0284479,0.384835,0.0268785,0.448293,0.223116,0.447334,0.223209,0.455912,0.225302
0.375745,0.0261969,0.413691,0.0288111,0.389855,0.027233,0.454807,0.224735,0.453852,0.224823,0.462676,0.226925
0.38076,0.0265494,0.418743,0.0291708,0.394873,0.0275865,0.46119,0.226312,0.460237,0.226398,0.469287,0.228503
0.385769,0.0269007,0.423789,0.029528,0.399888,0.0279387,0.467452,0.227854,0.466502,0.227936,0.475897,0.230089
0.390776,0.0272515,0.428825,0.0298829,0.404901,0.02829,0.473714,0.229401,0.472656,0.229442,0.482368,0.231638
0.395781,0.0276014,0.433854,0.0302357,0.409911,0.0286403,0.479866,0.230917,0.47871,0.230919,0.488838,0.233195
0.400786,0.0279509,0.438877,0.0305863,0.41492,0.0289901,0.485917,0.232404,0.484672,0.23237,0.49518,0.234719
0.405789,0.0282997,0.443894,0.0309369,0.419927,0.0293392,0.491877,0.233865,0.49059,0.233813,0.501405,0.236212
0.410791,0.0286479,0.448909,0.031285,0.424932,0.0296875,0.497793,0.235318,0.496465,0.235252,0.507524,0.237677
0.415793,0.0289957,0.453921,0.0316327,0.429936,0.0300351,0.503628,0.236749,0.502562,0.236774,0.513545,0.239118
0.420794,0.0293429,0.45893,0.0319793,0.434939,0.0303826,0.509391,0.238163,0.508565,0.238275,0.519477,0.240537
0.425795,0.0296898,0.463937,0.0323248,0.439941,0.0307291,0.515087,0.23956,0.514443,0.239739,0.525889,0.242139
