x,N3057,x,N3057,x,N3057,x,N3237,x,N3237,x,N3237
0,0.0904353,0,0.0904353,0,0.0904353,0,0.0057646,0,0.0057646,0,0.0057646
0.01,0.0149551,0.01,0.0149528,0.01,0.0149602,0.01,0.0590464,0.01,0.0590406,0.01,0.0590597
0.0193853,0.0305787,0.0193853,0.0305742,0.0193853,0.030589,0.0197673,0.116938,0.0197673,0.116928,0.0197673,0.116961
0.0282314,0.0461766,0.0282314,0.0461702,0.0282314,0.046191,0.0295621,0.176963,0.0295621,0.176948,0.0295472,0.176911
0.0366047,0.061387,0.0366047,0.0613792,0.0366047,0.0614045,0.0393569,0.23782,0.0393569,0.237803,0.0393271,0.237685
0.0445633,0.0760785,0.0445633,0.0760696,0.0445633,0.0760983,0.0491627,0.299023,0.0491627,0.299004,0.0491189,0.298803
0.0521582,0.0902168,0.0521582,0.090207,0.0521582,0.0902385,0.0589686,0.360245,0.0589686,0.360226,0.0589107,0.359939
0.059434,0.103818,0.059434,0.103808,0.059434,0.103842,0.0683558,0.419035,0.0683558,0.419017,0.068285,0.418646
0.0663574,0.114754,0.0663574,0.114743,0.0663574,0.114779,0.0777761,0.477706,0.0777761,0.477689,0.0776932,0.477238
0.073644,0.126692,0.073644,0.12668,0.073644,0.126719,0.0872277,0.536204,0.0872277,0.536192,0.0871333,0.535658
0.0812508,0.139476,0.0812508,0.139463,0.0812508,0.139504,0.0958625,0.580558,0.0958625,0.580595,0.0957587,0.579908
0.0891402,0.152978,0.0891402,0.152964,0.0891402,0.153008,0.104764,0.622602,0.104764,0.62269,0.104652,0.621848
0.0972786,0.167095,0.0972786,0.167081,0.0972786,0.167128,0.113885,0.6624,0.113885,0.662538,0.113767,0.661526
0.105518,0.181583,0.105518,0.181567,0.105518,0.181617,0.123182,0.700043,0.123182,0.700233,0.123059,0.699062
0.113852,0.19638,0.113852,0.196364,0.113852,0.196416,0.132616,0.735703,0.132619,0.735951,0.13249,0.734605
0.122277,0.211442,0.122277,0.211425,0.122277,0.21148,0.14208,0.769341,0.142166,0.76985,0.141951,0.768121
0.130786,0.226735,0.130786,0.226718,0.130786,0.226775,0.151574,0.801184,0.151738,0.801939,0.151412,0.799761
0.139377,0.242233,0.139377,0.242214,0.139377,0.242273,0.161095,0.831436,0.161333,0.83243,0.160936,0.829902
0.148043,0.257911,0.148043,0.257892,0.148043,0.257954,0.170642,0.86029,0.170976,0.861574,0.170487,0.858641
0.15671,0.273658,0.156782,0.273736,0.15671,0.273702,0.180243,0.887994,0.180688,0.889606,0.180061,0.88615
0.165449,0.28955,0.165589,0.289729,0.165449,0.289595,0.189843,0.914571,0.190435,0.916595,0.189686,0.912656
0.174256,0.305579,0.17446,0.30586,0.174256,0.305625,0.199491,0.940275,0.200195,0.942623,0.199332,0.938222
0.183127,0.321734,0.183393,0.322117,0.183127,0.321781,0.209138,0.965118,0.209968,0.967814,0.208977,0.962922
0.191998,0.337927,0.192383,0.338492,0.192059,0.338057,0.218786,0.989202,0.219741,0.992245,0.218622,0.986864
0.200931,0.354228,0.201373,0.354903,0.20105,0.354445,0.228453,1.01267,0.229292,1.01546,0.228051,1.00961
0.209863,0.370556,0.210418,0.371411,0.210095,0.370938,0.238137,1.03561,0.238631,1.03757,0.237274,1.03126
0.218854,0.386977,0.219515,0.388014,0.219191,0.387529,0.247604,1.05751,0.248006,1.05925,0.246588,1.05264
0.227658,0.403173,0.228611,0.40464,0.228337,0.404211,0.257134,1.07911,0.257178,1.07999,0.255702,1.07309
0.235995,0.418739,0.237708,0.421281,0.237482,0.420919,0.266452,1.09982,0.265836,1.09909,0.263768,1.09059
0.243633,0.433311,0.246804,0.437933,0.246434,0.437389,0.275852,1.1204,0.274176,1.11708,0.270993,1.10566
