x,N2249,N2643,N3237,x,N2249,N2643,N3237,x,N2249,N2643,N3237
0,0,0,0,0,0,0,0,0,0,0,0
0.01,-0.00401807,-0.00372728,-0.00357645,0.01,-0.0039928,-0.00371476,-0.00360064,0.01,-0.00407894,-0.00375661,-0.00353113
0.0197673,-0.00819464,-0.00748976,-0.00675535,0.0197673,-0.00813982,-0.00746403,-0.00677054,0.0197673,-0.0083267,-0.00755007,-0.00675286
0.0295621,-0.012616,-0.0115431,-0.0102805,0.0295621,-0.0125269,-0.0115067,-0.0102741,0.0295472,-0.0128255,-0.0116168,-0.0103099
0.0393569,-0.0171709,-0.0156995,-0.0139347,0.0393569,-0.0170438,-0.0156561,-0.0139081,0.0393271,-0.0174662,-0.0157767,-0.0139945
0.0491627,-0.0218072,-0.019876,-0.0176386,0.0491627,-0.021639,-0.0198301,-0.0175975,0.0491189,-0.0221958,-0.0199462,-0.0177174
0.0589686,-0.0264869,-0.0240235,-0.0213327,0.0589686,-0.0262751,-0.0239793,-0.0212828,0.0589107,-0.0269748,-0.0240763,-0.0214216
0.0683558,-0.0309998,-0.0279727,-0.0248655,0.0683558,-0.0307443,-0.0279338,-0.024811,0.068285,-0.0315882,-0.0280004,-0.0249607
0.0777761,-0.0355283,-0.0318569,-0.0283378,0.0777761,-0.0352273,-0.0318267,-0.0282796,0.0776932,-0.0362221,-0.0318521,-0.0284429
0.0872277,-0.0400609,-0.0356584,-0.0317278,0.0872277,-0.0397128,-0.0356409,-0.0316672,0.0871333,-0.0408644,-0.0356141,-0.0318495
0.0958625,-0.0437436,-0.0385066,-0.0339371,0.0958625,-0.0433572,-0.0385024,-0.033867,0.0957587,-0.04464,-0.0384201,-0.0340731
0.104764,-0.0473201,-0.041661,-0.0379187,0.104764,-0.0468956,-0.0416741,-0.0378123,0.104652,-0.0483093,-0.0415252,-0.0381491
0.113885,-0.0507893,-0.0449522,-0.0419591,0.113885,-0.0503259,-0.0449849,-0.0418259,0.113767,-0.0518756,-0.0447658,-0.0422662
0.123182,-0.0541658,-0.0483346,-0.0460876,0.123182,-0.0536636,-0.0483879,-0.0459299,0.123059,-0.0553466,-0.0480947,-0.0464584
0.132616,-0.0574454,-0.0517784,-0.0502702,0.132619,-0.0569071,-0.0518584,-0.0500994,0.13249,-0.0587205,-0.0514832,-0.0507214
0.14208,-0.0606136,-0.0552444,-0.0544908,0.142166,-0.0600592,-0.0553706,-0.0543139,0.141951,-0.0619814,-0.0548921,-0.0550183
0.151574,-0.0636817,-0.0587187,-0.0587296,0.151738,-0.0631111,-0.0588914,-0.0585637,0.151412,-0.0651333,-0.0583046,-0.0593455
0.161095,-0.0666609,-0.0621961,-0.0630054,0.161333,-0.0660739,-0.062417,-0.0628301,0.160936,-0.0682059,-0.061729,-0.0637081
0.170642,-0.0695636,-0.0656735,-0.0673054,0.170976,-0.0689655,-0.065947,-0.0671229,0.170487,-0.0712,-0.0651538,-0.0680873
0.180243,-0.0724066,-0.0691557,-0.0716256,0.180688,-0.0718018,-0.0694863,-0.0714443,0.180061,-0.0741254,-0.0685782,-0.0724928
0.189843,-0.0751835,-0.0726262,-0.0759533,0.190435,-0.0745801,-0.0730246,-0.0757957,0.189686,-0.0769978,-0.0720049,-0.076918
0.199491,-0.0779138,-0.0760958,-0.0803038,0.200195,-0.0773035,-0.0765544,-0.0801631,0.199332,-0.0798159,-0.0754271,-0.081355
0.209138,-0.0805933,-0.0795556,-0.0846525,0.209968,-0.0799784,-0.0800747,-0.0845288,0.208977,-0.0825813,-0.0788407,-0.0857889
0.218786,-0.0832258,-0.0830021,-0.0890005,0.219741,-0.0826075,-0.0835821,-0.0888943,0.218622,-0.0852997,-0.0822432,-0.0902167
0.228453,-0.0858223,-0.0864395,-0.0933566,0.229292,-0.085138,-0.0870237,-0.0932049,0.228051,-0.0879177,-0.0855858,-0.0945812
0.238137,-0.0883864,-0.0898666,-0.0977088,0.238631,-0.0875775,-0.0903892,-0.0974189,0.237274,-0.0904426,-0.0888576,-0.0988439
