x,N145,N1207,N2125,x,N145,N1207,N2125,x,N145,N1207,N2125
0,0,0,0,0,0,0,0,0,0,0,0
0.01,-0.000400251,-0.000881164,-0.00104404,0.01,-0.000398687,-0.000879372,-0.00104577,0.01,-0.000478582,-0.000896159,-0.00104005
0.0193853,-0.000905277,-0.00196279,-0.00226898,0.0193853,-0.000900941,-0.00195907,-0.00226999,0.0193853,-0.00110631,-0.00196905,-0.0022789
0.0282314,-0.00145339,-0.00310197,-0.00353401,0.0282314,-0.00144567,-0.00309663,-0.00353315,0.0282314,-0.00180232,-0.00307602,-0.00355716
0.0366047,-0.00201829,-0.00424338,-0.00479129,0.0366047,-0.00200682,-0.00423689,-0.00478846,0.0366047,-0.00253065,-0.00416787,-0.00482374
0.0445633,-0.00258439,-0.00535925,-0.00601465,0.0445633,-0.00256894,-0.00535205,-0.00601026,0.0445633,-0.00326953,-0.00522286,-0.00605376
0.0521582,-0.00314377,-0.00643862,-0.0071948,0.0521582,-0.00312421,-0.00643114,-0.00718943,0.0521582,-0.00400701,-0.00623476,-0.00723962
0.059434,-0.00369209,-0.00747735,-0.00832845,0.059434,-0.00366835,-0.00746996,-0.00832265,0.059434,-0.0047365,-0.00720333,-0.00837932
0.0663574,-0.00409804,-0.00822088,-0.00915308,0.0663574,-0.00407072,-0.00821455,-0.00914642,0.0662922,-0.00529362,-0.00786057,-0.00920704
0.0734473,-0.00453079,-0.00901163,-0.0100375,0.0734473,-0.00449963,-0.00900657,-0.0100314,0.0733204,-0.00588366,-0.00857169,-0.0100823
0.0808806,-0.00500582,-0.00987932,-0.0110089,0.0808806,-0.00497049,-0.00987569,-0.0110045,0.0805093,-0.00651717,-0.00935133,-0.0110307
0.0886169,-0.00551853,-0.0108111,-0.0120478,0.0886169,-0.0054787,-0.0108091,-0.0120453,0.08803,-0.00720277,-0.0101966,-0.012054
0.0966204,-0.00606534,-0.0117976,-0.0131441,0.0966204,-0.00602068,-0.0117974,-0.0131433,0.0958433,-0.00793602,-0.0110959,-0.013139
0.10486,-0.00664304,-0.0128307,-0.0142904,0.10486,-0.00659324,-0.0128325,-0.0142908,0.103915,-0.00871415,-0.012043,-0.0142789
0.113307,-0.00724861,-0.0139032,-0.0154797,0.113307,-0.00719336,-0.0139074,-0.0154808,0.112214,-0.00953392,-0.0130315,-0.015466
0.121937,-0.0078794,-0.0150092,-0.0167061,0.121937,-0.00781841,-0.0150159,-0.0167075,0.120714,-0.0103923,-0.0140563,-0.0166941
0.130729,-0.00853308,-0.0161436,-0.0179646,0.130729,-0.00846606,-0.016153,-0.017966,0.129391,-0.0112865,-0.0151132,-0.0179576
0.139663,-0.00920752,-0.017302,-0.0192508,0.139663,-0.0091342,-0.0173144,-0.0192519,0.138224,-0.0122138,-0.0161985,-0.0192519
0.148724,-0.00990081,-0.0184806,-0.0205608,0.148724,-0.00982095,-0.0184961,-0.0205615,0.147195,-0.013172,-0.0173092,-0.020573
0.157895,-0.0106113,-0.0196761,-0.0218915,0.157895,-0.0105246,-0.0196951,-0.0218914,0.156287,-0.0141585,-0.0184425,-0.0219172
0.167164,-0.0113376,-0.0208863,-0.0232403,0.167164,-0.0112439,-0.0209089,-0.0232393,0.165486,-0.0151713,-0.0195962,-0.0232813
0.176473,-0.0120757,-0.022105,-0.0246015,0.176473,-0.0119746,-0.0221305,-0.024598,0.17478,-0.0162088,-0.0207684,-0.0246633
0.185863,-0.0128265,-0.0233321,-0.0259719,0.185819,-0.0127157,-0.0233585,-0.0259651,0.184112,-0.0172651,-0.021954,-0.0260549
0.195286,-0.0135872,-0.0245644,-0.0273513,0.1952,-0.0134664,-0.0245912,-0.0273389,0.193481,-0.018339,-0.0231515,-0.0274562
0.20474,-0.0143569,-0.0258006,-0.0287371,0.204615,-0.014226,-0.0258276,-0.0287186,0.202883,-0.0194294,-0.0243592,-0.0288636
0.214195,-0.0151332,-0.0270369,-0.0301251,0.21403,-0.0149914,-0.0270635,-0.0301002,0.212318,-0.0205351,-0.0255769,-0.030278
0.223649,-0.0159145,-0.0282712,-0.0315133,0.223444,-0.0157634,-0.0282997,-0.0314836,0.221783,-0.0216549,-0.0268027,-0.0316954
0.233133,-0.0167037,-0.0295066,-0.032904,0.232654,-0.0165268,-0.0295145,-0.0328432,0.231277,-0.0227883,-0.0280363,-0.0331164
0.242617,-0.0174972,-0.0307396,-0.0342943,0.241496,-0.0172726,-0.0306961,-0.0341639,0.240772,-0.023931,-0.0292744,-0.0345367
0.252101,-0.0182963,-0.0319726,-0.0356883,0.250339,-0.0180242,-0.031877,-0.0354891,0.250266,-0.0250862,-0.0305221,-0.0359641
0.261376,-0.0190847,-0.0331815,-0.0370547,0.258847,-0.0187538,-0.0330161,-0.0367644,0.259369,-0.0262095,-0.031736,-0.0373425
0.270279,-0.0198538,-0.0343563,-0.0383805,0.267049,-0.0194663,-0.0341226,-0.038003,0.267967,-0.0272937,-0.0329092,-0.0386629
0.279182,-0.0206289,-0.0355323,-0.0397125,0.274972,-0.0201606,-0.035194,-0.0391992,0.275905,-0.0283185,-0.0340201,-0.039901
0.287744,-0.0213793,-0.0366639,-0.0409922,0.282895,-0.0208563,-0.0362596,-0.0403971,0.283706,-0.0293364,-0.0351167,-0.0411266
