x,N2249,N2571,N3057,x,N2249,N2571,N3057,x,N2249,N2571,N3057
0,0,0,0,0,0,0,0,0,0,0,0
0.01,-0.000322552,-0.000834095,-0.00107027,0.01,-0.000321001,-0.000832399,-0.00107192,0.01,-0.000326408,-0.000837899,-0.00106735
0.0193853,-0.000724909,-0.00182311,-0.00230161,0.0193853,-0.000720825,-0.00181966,-0.00230259,0.0193853,-0.000734978,-0.00183068,-0.00230086
0.0282314,-0.0011596,-0.00285885,-0.00358289,0.0282314,-0.00115246,-0.00285391,-0.00358212,0.0282314,-0.00117713,-0.00286945,-0.00358608
0.0366047,-0.00160356,-0.00388854,-0.0048554,0.0366047,-0.00159308,-0.00388249,-0.0048527,0.0366047,-0.00162929,-0.00390111,-0.00486223
0.0445633,-0.00204516,-0.00488979,-0.00609408,0.0445633,-0.00203115,-0.00488304,-0.00608983,0.0445633,-0.00207951,-0.00490326,-0.00610335
0.0521582,-0.00247902,-0.00585421,-0.00728902,0.0521582,-0.00246138,-0.00584716,-0.00728379,0.0521582,-0.00252224,-0.00586761,-0.00729945
0.059434,-0.00290299,-0.00678034,-0.00843793,0.059434,-0.00288166,-0.00677333,-0.00843224,0.059434,-0.0029552,-0.00679284,-0.00844842
0.0663574,-0.00320837,-0.00741634,-0.00919874,0.0663574,-0.00318395,-0.00741029,-0.00919202,0.0663574,-0.00326818,-0.00742579,-0.00921054
0.073644,-0.003559,-0.00815669,-0.0101216,0.073644,-0.0035311,-0.00815181,-0.0101155,0.073644,-0.00362726,-0.00816263,-0.0101311
0.0812508,-0.00394402,-0.0089647,-0.0111337,0.0812508,-0.00391235,-0.00896111,-0.0111293,0.0812508,-0.00402147,-0.00896684,-0.0111395
0.0891402,-0.0043592,-0.00982889,-0.0122139,0.0891402,-0.00432348,-0.00982674,-0.0122111,0.0891402,-0.00444654,-0.00982686,-0.0122164
0.0972786,-0.0048011,-0.01074,-0.0133505,0.0972786,-0.00476103,-0.0107395,-0.0133491,0.0972786,-0.00489897,-0.0107333,-0.0133509
0.105518,-0.00526266,-0.011683,-0.0145273,0.105518,-0.00521805,-0.0116842,-0.0145268,0.105518,-0.0053716,-0.0116713,-0.0145269
0.113852,-0.00574078,-0.0126497,-0.0157338,0.113852,-0.00569142,-0.012653,-0.0157338,0.113852,-0.0058613,-0.0126327,-0.0157335
0.122277,-0.00623342,-0.0136353,-0.0169649,0.122277,-0.0061791,-0.0136407,-0.016965,0.122277,-0.00636599,-0.0136124,-0.0169657
